Longitude,Latitude,CNTY_NM,
-95.43544,32.03824,Anderson,"(-95.4354399969999, 32.03824)"
-95.43547,32.03808,Anderson,"(-95.4354699959999, 32.038079998)"
-95.43566,32.03786,Anderson,"(-95.4356600009999, 32.037860001)"
-95.43586,32.03773,Anderson,"(-95.4358599959999, 32.037730002)"
-95.43599,32.03763,Anderson,"(-95.4359900009999, 32.037630002)"
-95.43607,32.03756,Anderson,"(-95.4360699999999, 32.037560004)"
-95.43628,32.03739,Anderson,"(-95.4362800029999, 32.03739)"
-95.43641,32.03729,Anderson,"(-95.4364099999999, 32.03729)"
-95.43663,32.03713,Anderson,"(-95.4366300019999, 32.037130002)"
-95.43681,32.03694,Anderson,"(-95.4368099989999, 32.036939999)"
-95.43703,32.03687,Anderson,"(-95.4370300039999, 32.036869999)"
-95.43726,32.03674,Anderson,"(-95.4372600019999, 32.036739997)"
-95.43754,32.03651,Anderson,"(-95.4375400009999, 32.036509999)"
-95.43774,32.03625,Anderson,"(-95.4377400019999, 32.036249996)"
-95.43789,32.03603,Anderson,"(-95.4378900039999, 32.036029999)"
-95.43807,32.03579,Anderson,"(-95.4380699989999, 32.035790003)"
